,antecedents,consequents,support,confidence,lift
394,"frozenset({'win', 'sup'})",frozenset({'no_fb'}),0.06092187077588537,0.731121745478141,0.973793510198633
470,"frozenset({'win', 'Blue', 'sup'})",frozenset({'no_fb'}),0.03208299540416329,0.7308698999230178,0.9734580728126324
375,frozenset({'jng'}),"frozenset({'lose', 'no_fb'})",0.06547039740470398,0.39282238442822387,0.9719072940704325
513,"frozenset({'win', 'bot'})","frozenset({'Red', 'no_fb'})",0.030467693971343607,0.3656419823181118,0.9691068106365933
281,"frozenset({'Red', 'jng'})",frozenset({'no_fb'}),0.0604014598540146,0.7248175182481752,0.9653968025349273
444,"frozenset({'jng', 'Blue', 'no_fb'})",frozenset({'win'}),0.028636117869694513,0.4812038614423623,0.9624857833699939
36,"frozenset({""Kai'Sa""})",frozenset({'lose'}),0.014321438226547715,0.48038993425527093,0.9607019526992929
283,frozenset({'jng'}),"frozenset({'Red', 'no_fb'})",0.0604014598540146,0.3624087591240876,0.960537393640842
224,"frozenset({'bot', ""Kai'Sa""})",frozenset({'lose'}),0.0142808867261422,0.48011815496478066,0.9601584381989694
400,"frozenset({'top', 'no_fb'})",frozenset({'win'}),0.06789672884563396,0.4796371449033182,0.9593520961404677
101,frozenset({'jng'}),frozenset({'no_fb'}),0.11991078669910786,0.7194647201946472,0.9582673196024774
165,frozenset({'jng'}),"frozenset({'Blue', 'no_fb'})",0.05950932684509327,0.35705596107055965,0.9559741599261714
392,"frozenset({'no_fb', 'mid'})",frozenset({'win'}),0.0665720464990538,0.47699757869249393,0.9540725355306108
425,"frozenset({'lose', 'fb', 'team'})",frozenset({'Blue'}),0.015389294403892945,0.4764595103578155,0.952919020715631
570,"frozenset({'win', 'no_fb', 'team'})",frozenset({'Red'}),0.015402811570694782,0.4761805265357292,0.9523610530714584
149,"frozenset({'lose', 'fb'})",frozenset({'Blue'}),0.04563395512300622,0.47602932882120697,0.9520586576424139
85,frozenset({'Udyr'}),frozenset({'no_fb'}),0.01104352527710192,0.7147856517935258,0.9520351886735748
344,"frozenset({'Udyr', 'jng'})",frozenset({'no_fb'}),0.01103000811030008,0.7145359019264448,0.9517025425701855
163,"frozenset({'jng', 'Blue'})",frozenset({'no_fb'}),0.05950932684509327,0.7141119221411193,0.9511378366700275
560,"frozenset({'win', 'no_fb', 'mid'})",frozenset({'Red'}),0.03165720464990538,0.4755329949238579,0.9510659898477158
461,"frozenset({'top', 'lose', 'no_fb'})",frozenset({'Blue'}),0.034941876182752095,0.47435544545371133,0.9487108909074227
356,"frozenset({'bot', 'no_fb'})",frozenset({'win'}),0.06444309272776426,0.47400079538675677,0.9480784827834716
